entity_kind,entity_subtype,creators,destroyers,limiters,pressure_drivers,pressure_responders,feedback_status,recommendation
npc,hero,hero_emergence | succession,none,none,conflict,conflict>30,WEAK,Add: hero count drives down conflict OR add hero mortality/retirement
npc,mayor,succession,none,one per colony,none,none,WEAK,Add: too many leadership changes increases instability
npc,merchant,krill_bloom_migration,none,none,resource_scarcity,resource_scarcity>60,WEAK,Add: merchant saturation affects resource_scarcity
npc,orca,orca_raider_arrival,none,none,external_threat,external_threat>70,WEAK,Add: orca presence drives external_threat OR add orca defeat mechanism
faction,company,guild_establishment,none,none,none,none,NONE,CRITICAL: Add global limit + pressure feedback
faction,cult,cult_formation,none,HARD CAP (15),magical_instability,none,GOOD,Well-designed!
faction,criminal,faction_splinter,none,none,cultural_tension,none,WEAK,Add: criminal faction count affects cultural_tension
faction,political,faction_splinter,none,none,cultural_tension,none,WEAK,Add: political faction count affects stability
location,colony,colony_founding,none,COUNT CHECK (5),resource_scarcity,none,WEAK,Add: colony count affects resource_scarcity pressure
location,anomaly,anomaly_manifestation | magical_site_discovery,none,none,magical_instability,magical_instability>30,WEAK,Add: anomaly count should REDUCE magical_instability (stabilizing)
location,geographic_feature,krill_bloom_migration | resource_location_discovery,none,none,resource_scarcity,none,WEAK,Add: resource location count reduces resource_scarcity
abilities,magic,magic_discovery,none,PER-HERO (2),magical_instability,none,WEAK,Add: magic count drives magical_instability
abilities,technology,tech_innovation,none,PER-FACTION (4),none,none,NONE,CRITICAL: Add global limit + pressure feedback (tech vs magic balance)
abilities,combat,orca_combat_technique,none,PER-ORCA (2),none,none,WEAK,Add: combat abilities increase conflict pressure
rules,edict,crisis_legislation,none,none,conflict | resource_scarcity,conflict>40,WEAK,Add: rule count affects cultural_tension OR stability
rules,taboo,crisis_legislation,none,none,conflict | resource_scarcity,conflict>40,WEAK,Add: taboo count affects cultural_tension
rules,social,great_festival | ideology_emergence,none,none,cultural_tension,cultural_tension>30,WEAK,Add: social rule count reduces cultural_tension
occurrence,war,occurrence_creation,none,FACTION COOLDOWN,conflict,conflict threshold,GOOD,Has cooldown - well designed
occurrence,disaster,occurrence_creation,none,none,magical_instability,threshold,WEAK,Add: disaster cooldown
occurrence,movement,occurrence_creation,none,none,cultural_tension,threshold,WEAK,Add: movement cooldown
occurrence,boom,occurrence_creation,none,none,stability,threshold,WEAK,Add: boom cooldown
relationship,enemy_of,conflict_contagion | relationship_formation,relationship_decay | relationship_culling,none,conflict,none,PARTIAL,Has decay but no saturation limit
relationship,allied_with,alliance_formation | great_festival,relationship_decay | relationship_culling,none,stability,none,PARTIAL,Has decay but no saturation limit
relationship,practitioner_of,many templates,relationship_culling,none,none,none,WEAK,Add: too many practitioners of same ability reduces prominence
relationship,member_of,many templates,relationship_culling,none,cultural_tension,none,WEAK,Add: faction size affects cultural_tension
relationship,leader_of,succession | faction_splinter,relationship_culling,one per faction,stability,none,PARTIAL,Has structural limit but no pressure feedback
relationship,resident_of,many templates,relationship_culling,none,resource_scarcity,none,WEAK,Add: colony overcrowding affects resource_scarcity
